Carrier Code,Date,Flight_Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes),month,org_clouds,org_pres,org_snow,org_temp,org_solar_rad,org_wind_spd,dest_clouds,dest_pres,dest_snow,dest_temp,dest_solar_rad,dest_wind_spd
UA,2022-01-01,1282,N4901U,IAD,23:10,0:01,70,76,51,23:55,6,23,0,6,0,22,January,100,996.9,0,13.8,11,1.5,100,991.2,0,5.4,8.6,2.8
UA,2023-01-01,604,N814UA,DEN,14:58,14:52,193,177,-6,14:48,4,0,0,0,0,0,January,77,818.8,0,0.4,50,2.4,92,998.4,0,6.8,37.5,4.1
UA,2023-01-01,2488,N38458,EWR,23:14,23:15,75,62,1,23:10,5,0,0,0,0,0,January,49,1011.6,0,11.3,95.2,3.7,92,998.4,0,6.8,37.5,4.1
UA,2023-01-01,2645,N23721,ORD,23:57,23:47,107,100,-10,23:41,6,0,0,0,0,0,January,93,990.8,6.5,4.6,31.4,2.2,92,998.4,0,6.8,37.5,4.1
UA,2022-01-02,1282,N4901U,IAD,23:10,23:27,70,64,17,23:19,8,17,0,0,0,0,January,100,996.1,0,15.3,20.5,2.6,98,995.8,50.5,-0.7,17.5,4.2
UA,2023-01-02,604,N890UA,DEN,15:01,17:36,193,217,155,17:31,5,40,0,24,0,91,January,97,817.1,37,-2.6,34.2,3.1,89,1003.9,0,5.3,25.3,2.4
UA,2023-01-02,1968,N23708,IAD,23:12,23:39,72,73,27,23:35,4,0,0,1,0,26,January,73,1009.5,0,9.6,97.1,1.6,89,1003.9,0,5.3,25.3,2.4
UA,2023-01-02,1998,N802UA,ORD,21:07,20:46,113,89,-21,20:43,3,0,0,0,0,0,January,100,993.8,3.7,2.7,10.5,2.4,89,1003.9,0,5.3,25.3,2.4
UA,2022-01-03,1282,N893UA,IAD,23:10,23:31,70,68,21,23:25,6,21,0,0,0,0,January,63,1009.3,206,3.2,32,3.5,96,1009.7,0,-7.9,23.2,2.7
UA,2023-01-03,604,N813UA,DEN,14:58,14:52,193,181,-6,14:46,6,0,0,0,0,0,January,50,817.7,0,-4.5,83.5,2.6,100,997.1,0,4.2,8.7,2.3
UA,2023-01-03,1998,N854UA,ORD,21:07,21:04,113,111,-3,20:58,6,0,0,0,0,0,January,100,982,0,4.1,9.4,2.5,100,997.1,0,4.2,8.7,2.3
UA,2022-01-04,1282,N814UA,IAD,23:44,1:59,69,89,135,1:55,4,115,0,20,0,0,January,14,1019.6,0,-1.3,104.5,2,56,1008.8,0,-6.2,84.9,2.7
UA,2023-01-04,604,N407UA,DEN,14:59,14:47,193,187,-12,14:43,4,0,0,0,0,0,January,5,822.6,0,-0.2,107.3,6.2,96,993.2,0,5.8,8.8,2.4
UA,2023-01-04,1998,N893UA,ORD,21:17,21:31,113,110,14,21:26,5,0,0,0,0,0,January,76,983.7,7.2,3,30.9,3.1,96,993.2,0,5.8,8.8,2.4
UA,2022-01-05,1282,N827UA,IAD,23:44,23:30,69,61,-14,23:25,5,0,0,0,0,0,January,90,1004.6,0,1.2,27.3,2.8,88,992,0,1.6,25.7,4.6
UA,2023-01-05,604,N821UA,DEN,14:59,14:59,193,193,0,14:54,5,0,0,0,0,0,January,45,824.8,0,-2.9,55.5,2.7,76,997.9,0,6.6,48.3,2.9
UA,2023-01-05,1998,N853UA,ORD,21:17,21:17,113,112,0,21:11,6,0,0,0,0,0,January,95,988.5,38.8,0.6,19.3,3.1,76,997.9,0,6.6,48.3,2.9
UA,2022-01-06,1282,N485UA,IAD,23:44,23:45,69,66,1,23:38,7,0,0,0,0,0,January,74,1002.4,0,4.7,49.8,2.1,91,995.9,1,0.3,28.9,6.1
UA,2023-01-06,604,N855UA,DEN,14:59,14:51,193,191,-8,14:46,5,0,0,0,0,0,January,66,823.4,0,0.5,59.2,2.9,74,1000.7,0,3.1,38,3.2
UA,2023-01-06,1998,N850UA,ORD,21:17,21:23,113,119,6,21:18,5,0,0,0,0,0,January,91,997.1,0,-1.3,29.2,2.9,74,1000.7,0,3.1,38,3.2
UA,2022-01-07,1282,N423UA,IAD,23:44,0:01,69,78,17,23:52,9,8,0,9,0,0,January,60,1008.2,64,0.2,51.5,3.7,94,999.7,12.5,-3.4,45.6,5.4
UA,2023-01-07,604,N847UA,DEN,14:59,14:53,193,193,-6,14:50,3,0,0,0,0,0,January,35,830.3,0,0.5,109.2,2.3,81,1006.9,0,2.6,21.2,4.2
UA,2023-01-07,1998,N892UA,ORD,21:17,21:56,113,105,39,21:50,6,0,0,0,0,39,January,98,1004.2,0,-0.7,24,2.5,81,1006.9,0,2.6,21.2,4.2
UA,2022-01-08,1282,N893UA,IAD,23:44,23:38,69,63,-6,23:33,5,0,0,0,0,0,January,1,1025.7,0,-2.8,113.1,2.6,53,1016,0,-9.8,77.1,2.6
UA,2023-01-08,604,N813UA,DEN,15:02,15:17,193,199,15,15:11,6,9,0,6,0,0,January,68,827,0,3.4,57,4,47,1009.6,0,-2.7,72.5,2.2
UA,2023-01-08,1998,N414UA,ORD,21:17,21:05,113,105,-12,21:00,5,0,0,0,0,0,January,68,1000.6,0,-0.7,29.4,2.3,47,1009.6,0,-2.7,72.5,2.2
UA,2022-01-09,1282,N854UA,IAD,23:44,1:26,69,72,102,1:19,7,99,0,3,0,0,January,87,1014.1,0,1.8,25.4,3.5,95,1000.6,17,0.8,17.4,6.1
UA,2023-01-09,604,N809UA,DEN,14:59,14:49,193,193,-10,14:45,4,0,0,0,0,0,January,41,824,0,6.4,66.9,4.4,80,999.8,0,-1.8,56.7,4.2
UA,2023-01-09,1998,N802UA,ORD,21:17,21:01,113,104,-16,20:57,4,0,0,0,0,0,January,55,996,0,1.3,84.3,3.9,80,999.8,0,-1.8,56.7,4.2
UA,2023-01-09,2617,N895UA,EWR,23:12,0:04,74,71,52,23:59,5,52,0,0,0,0,January,39,1013.5,0,4.8,95.1,3.3,80,999.8,0,-1.8,56.7,4.2
UA,2022-01-10,1282,N810UA,IAD,23:44,0:14,69,77,30,0:08,6,0,22,8,0,0,January,30,1013.5,0,3.2,103.3,4.3,88,1004.7,30,-4,32.5,9.3
UA,2023-01-10,604,N408UA,DEN,14:59,15:37,193,190,38,15:33,4,38,0,0,0,0,January,17,818.5,0,7.3,111.7,4.3,87,1002.4,0,0.3,27.9,3.6
UA,2023-01-10,1036,N78285,ORD,21:38,21:24,113,107,-14,21:17,7,0,0,0,0,0,January,58,989,0,4,99,2.3,87,1002.4,0,0.3,27.9,3.6
UA,2023-01-10,1998,N463UA,ORD,21:17,21:05,113,108,-12,21:00,5,0,0,0,0,0,January,58,989,0,4,99,2.3,87,1002.4,0,0.3,27.9,3.6
UA,2023-01-10,2617,N846UA,EWR,23:12,22:49,74,63,-23,22:43,6,0,0,0,0,0,January,83,1016,0,3.9,40,3.5,87,1002.4,0,0.3,27.9,3.6
UA,2022-01-11,1282,N880UA,IAD,23:44,23:26,69,59,-18,23:18,8,0,0,0,0,0,January,14,1023.6,0,-2.7,115.7,3,78,1015.8,0,-13.3,32.6,3.7
UA,2023-01-11,604,N809UA,DEN,14:59,15:34,193,206,35,15:29,5,12,0,13,0,10,January,97,820.9,0,0.5,17.6,4.2,81,1005.9,0,-4.7,28.4,3.3
UA,2023-01-11,1998,N872UA,ORD,21:17,21:05,113,91,-12,21:02,3,0,0,0,0,0,January,93,986.9,0,4.8,54.2,2.1,81,1005.9,0,-4.7,28.4,3.3
UA,2023-01-11,2617,N836UA,EWR,23:12,23:08,74,63,-4,23:04,4,0,0,0,0,0,January,79,1022.3,0,4.1,33.7,2.9,81,1005.9,0,-4.7,28.4,3.3
UA,2022-01-12,1282,N871UA,IAD,23:44,23:30,69,67,-14,23:24,6,0,0,0,0,0,January,45,1013.5,0,-0.2,96.7,3.4,83,1000.7,0,-4.4,27.7,4.2
UA,2023-01-12,604,N826UA,DEN,14:59,14:45,193,185,-14,14:42,3,0,0,0,0,0,January,23,833.3,0,1.8,113.5,3.6,91,997.2,0,2.3,19.3,4
UA,2023-01-12,1998,N873UA,ORD,21:17,21:10,113,107,-7,21:06,4,0,0,0,0,0,January,97,991,2.7,2.4,20.1,5.6,91,997.2,0,2.3,19.3,4
UA,2023-01-12,2617,N836UA,EWR,23:12,1:38,74,85,146,1:33,5,0,0,88,0,58,January,89,1016.3,0,6.6,20.1,2.7,91,997.2,0,2.3,19.3,4
UA,2022-01-13,1282,N845UA,IAD,23:44,23:41,69,60,-3,23:37,4,0,0,0,0,0,January,96,1004.5,0,4.1,33.5,1.1,92,998.3,0,2.2,47,1.9
