Date,Day,Origin Airport,Flight Number,Arrival Time,pred
04/21/2023,5,ORD,UA 3839,10:00 AM,On-time
04/21/2023,5,ORD,UA 3524,4:50 PM,On-time
04/21/2023,5,ORD,UA 538,9:34 PM,On-time
04/22/2023,6,ORD,UA 3839,10:00 AM,On-time
04/22/2023,6,ORD,UA 3524,4:50 PM,On-time
04/22/2023,6,ORD,UA 538,9:34 PM,On-time
04/23/2023,0,ORD,UA 3839,10:00 AM,On-time
04/23/2023,0,ORD,UA 3524,4:55 PM,On-time
04/23/2023,0,ORD,UA 538,9:34 PM,On-time
04/24/2023,1,ORD,UA 3839,10:00 AM,On-time
04/24/2023,1,ORD,UA 3524,4:50 PM,On-time
04/24/2023,1,ORD,UA 538,9:34 PM,On-time
04/21/2023,5,DEN,UA 604,3:12 PM,On-time
04/22/2023,6,DEN,UA 604,3:12 PM,On-time
04/23/2023,0,DEN,UA 604,3:12 PM,On-time
04/24/2023,1,DEN,UA 604,3:12 PM,On-time
04/21/2023,5,EWR,UA 4189,10:46 AM,On-time
04/21/2023,5,EWR,UA 1412,11:42 PM,On-time
04/22/2023,6,EWR,UA 4189,10:46 AM,On-time
04/22/2023,6,EWR,UA 1412,11:17 PM,On-time
04/23/2023,0,EWR,UA 4189,10:46 AM,On-time
04/23/2023,0,EWR,UA 1412,11:42 PM,On-time
04/24/2023,1,EWR,UA 4189,10:46 AM,On-time
04/24/2023,1,EWR,UA 1412,11:42 PM,On-time
04/21/2023,5,IAD,UA 4490,1:57 PM,On-time
04/21/2023,5,IAD,UA 4165,6:59 PM,On-time
04/22/2023,6,IAD,UA 3805,1:58 PM,On-time
04/22/2023,6,IAD,UA 4165,6:59 PM,On-time
04/23/2023,0,IAD,UA 4490,1:57 PM,On-time
04/23/2023,0,IAD,UA 4165,6:59 PM,On-time
04/24/2023,1,IAD,UA 4490,1:57 PM,On-time
04/24/2023,1,IAD,UA 4165,6:59 PM,On-time
