Date,Day,Origin Airport,Flight Number,Arrival Time,Scheduled Elapsed Time (Minutes),month,org_clouds,org_pres,org_snow,org_temp,org_wind_spd,dest_clouds,dest_pres,dest_snow,dest_temp,dest_wind_spd
2023-04-21,Friday,ORD,UA 3839,10:00 AM,110,April,82,991.3,0,11,4,54,997.3,0,17.5,3
2023-04-21,Friday,ORD,UA 3524,4:50 PM,115,April,82,991.3,0,11,4,54,997.3,0,17.5,3
2023-04-21,Friday,ORD,UA 538,9:34 PM,114,April,82,991.3,0,11,4,54,997.3,0,17.5,3
2023-04-22,Saturday,ORD,UA 3839,10:00 AM,110,April,77,987.8,0,6.3,4.8,74,984.5,0,16.1,4.6
2023-04-22,Saturday,ORD,UA 3524,4:50 PM,115,April,77,987.8,0,6.3,4.8,74,984.5,0,16.1,4.6
2023-04-22,Saturday,ORD,UA 538,9:34 PM,114,April,77,987.8,0,6.3,4.8,74,984.5,0,16.1,4.6
2023-04-23,Sunday,ORD,UA 3839,10:00 AM,110,April,91,994.2,0,5.6,4.2,72,983.1,0,10,3.4
2023-04-23,Sunday,ORD,UA 3524,4:55 PM,115,April,91,994.2,0,5.6,4.2,72,983.1,0,10,3.4
2023-04-23,Sunday,ORD,UA 538,9:34 PM,114,April,91,994.2,0,5.6,4.2,72,983.1,0,10,3.4
2023-04-24,Monday,ORD,UA 3839,10:00 AM,110,April,37,998.3,0,6.7,2.7,82,986.9,0,7.4,3.6
2023-04-24,Monday,ORD,UA 3524,4:50 PM,115,April,37,998.3,0,6.7,2.7,82,986.9,0,7.4,3.6
2023-04-24,Monday,ORD,UA 538,9:34 PM,114,April,37,998.3,0,6.7,2.7,82,986.9,0,7.4,3.6
2023-04-21,Friday,DEN,UA 604,3:12 PM,201,April,63,837.4,0,4.6,4.1,54,997.3,0,17.5,3
2023-04-22,Saturday,DEN,UA 604,3:12 PM,201,April,98,836.2,21.25,3.6,2.3,74,984.5,0,16.1,4.6
2023-04-23,Sunday,DEN,UA 604,3:12 PM,201,April,81,833,0,8.2,1.9,72,983.1,0,10,3.4
2023-04-24,Monday,DEN,UA 604,3:12 PM,201,April,37,829.9,0,10.9,1.6,82,986.9,0,7.4,3.6
2023-04-21,Friday,EWR,UA 4189,10:46 AM,91,April,38,1018.2,0,12.7,3.2,54,997.3,0,17.5,3
2023-04-21,Friday,EWR,UA 1412,11:42 PM,72,April,38,1018.2,0,12.7,3.2,54,997.3,0,17.5,3
2023-04-22,Saturday,EWR,UA 4189,10:46 AM,91,April,75,1008.5,0,15.2,4.8,74,984.5,0,16.1,4.6
2023-04-22,Saturday,EWR,UA 1412,11:17 PM,72,April,75,1008.5,0,15.2,4.8,74,984.5,0,16.1,4.6
2023-04-23,Sunday,EWR,UA 4189,10:46 AM,91,April,54,1003.4,0,15.9,3.6,72,983.1,0,10,3.4
2023-04-23,Sunday,EWR,UA 1412,11:42 PM,72,April,54,1003.4,0,15.9,3.6,72,983.1,0,10,3.4
2023-04-24,Monday,EWR,UA 4189,10:46 AM,91,April,37,1008.2,0,14.1,4.7,82,986.9,0,7.4,3.6
2023-04-24,Monday,EWR,UA 1412,11:42 PM,72,April,37,1008.2,0,14.1,4.7,82,986.9,0,7.4,3.6
2023-04-21,Friday,IAD,UA 4490,1:57 PM,74,April,9,1012,0,22.4,2.1,54,997.3,0,17.5,3
2023-04-21,Friday,IAD,UA 4165,6:59 PM,83,April,9,1012,0,22.4,2.1,54,997.3,0,17.5,3
2023-04-22,Saturday,IAD,UA 3805,1:58 PM,75,April,55,1003.4,0,19,4.4,74,984.5,0,16.1,4.6
2023-04-22,Saturday,IAD,UA 4165,6:59 PM,83,April,55,1003.4,0,19,4.4,74,984.5,0,16.1,4.6
2023-04-23,Sunday,IAD,UA 4490,1:57 PM,74,April,43,1004.4,0,14.9,3.8,72,983.1,0,10,3.4
2023-04-23,Sunday,IAD,UA 4165,6:59 PM,83,April,43,1004.4,0,14.9,3.8,72,983.1,0,10,3.4
2023-04-24,Monday,IAD,UA 4490,1:57 PM,74,April,27,1009.1,0,14.4,5.1,82,986.9,0,7.4,3.6
2023-04-24,Monday,IAD,UA 4165,6:59 PM,83,April,27,1009.1,0,14.4,5.1,82,986.9,0,7.4,3.6
