Date,Day,Origin Airport,Flight Number,Arrival Time,Scheduled Elapsed Time (Minutes)
4/21/2023,Friday,ORD,UA 3839,10:00 AM,110
4/21/2023,Friday,ORD,UA 3524,4:50 PM,115
4/21/2023,Friday,ORD,UA 538,9:34 PM,114
4/22/2023,Saturday,ORD,UA 3839,10:00 AM,110
4/22/2023,Saturday,ORD,UA 3524,4:50 PM,115
4/22/2023,Saturday,ORD,UA 538,9:34 PM,114
4/23/2023,Sunday,ORD,UA 3839,10:00 AM,110
4/23/2023,Sunday,ORD,UA 3524,4:55 PM,115
4/23/2023,Sunday,ORD,UA 538,9:34 PM,114
4/24/2023,Monday,ORD,UA 3839,10:00 AM,110
4/24/2023,Monday,ORD,UA 3524,4:50 PM,115
4/24/2023,Monday,ORD,UA 538,9:34 PM,114
4/21/2023,Friday,DEN,UA 604,3:12 PM,201
4/22/2023,Saturday,DEN,UA 604,3:12 PM,201
4/23/2023,Sunday,DEN,UA 604,3:12 PM,201
4/24/2023,Monday,DEN,UA 604,3:12 PM,201
4/21/2023,Friday,EWR,UA 4189,10:46 AM,91
4/21/2023,Friday,EWR,UA 1412,11:42 PM,72
4/22/2023,Saturday,EWR,UA 4189,10:46 AM,91
4/22/2023,Saturday,EWR,UA 1412,11:17 PM,72
4/23/2023,Sunday,EWR,UA 4189,10:46 AM,91
4/23/2023,Sunday,EWR,UA 1412,11:42 PM,72
4/24/2023,Monday,EWR,UA 4189,10:46 AM,91
4/24/2023,Monday,EWR,UA 1412,11:42 PM,72
4/21/2023,Friday,IAD,UA 4490,1:57 PM,74
4/21/2023,Friday,IAD,UA 4165,6:59 PM,83
4/22/2023,Saturday,IAD,UA 3805,1:58 PM,75
4/22/2023,Saturday,IAD,UA 4165,6:59 PM,83
4/23/2023,Sunday,IAD,UA 4490,1:57 PM,74
4/23/2023,Sunday,IAD,UA 4165,6:59 PM,83
4/24/2023,Monday,IAD,UA 4490,1:57 PM,74
4/24/2023,Monday,IAD,UA 4165,6:59 PM,83
